date,ticker,sector,type,leftlead,trr_open,intraweekly,intramonthly,openweekly,openmonthly,size,additional,discountfromlast,adtv,secondary,biotech,fut
1/23/17,BIOAQ,1,2,58,-0.073684,0,0,0,0,0.020125009,0.107421,-0.096958,22.91,0.00,0.00,-0.002105
1/23/17,GLOP,5,2,17,-0.012195,0,0,0,0,0.076875,0.09831,-0.070295,27.75,0.00,0.00,0.017073
1/23/17,INFO,8,4,71,-0.010323,0,0,0,0,0.096875,0.005925,-0.001031,1.39,1.00,0.00,0.010323
1/23/17,OCUL,7,2,14,0.001429,0,0,0,0,0.025000003,0.124194,-0.072848,5.24,0.00,1.00,-0.02
1/23/17,PNFP,6,3,35,0.0216,0,0,0,0,0.20125,0.056807,-0.027237,13.42,0.00,0.00,0.056
1/23/17,TRGP,5,3,5,0.01301,0,0,0,0,0.53038,0.041508,-0.039967,5.11,0.00,0.00,-0.010928
1/24/17,FWONA,2,3,71,0.009262,0,0,0,0,0.039576955,0.007816,-0.009177,3.44,1.00,0.00,0
1/24/17,MIK,3,3,10,-0.027907,0,0,0,0,0.387,0.089381,-0.012856,10.75,1.00,0.00,-0.028372
1/24/17,PTEN,5,2,31,0.038185,0,0,0,0,0.4805965,0.096362,-0.02037,5.66,0.00,0.00,0.040454
1/24/17,CASC,7,2,21,0.057576,0,0,0,0,0.08797569,0.506891,-0.09589,157.96,0.00,0.00,0.069697
1/24/17,FSM,1,3,57,-0.004762,0,0,0,0,0.074804625,0.06612,-0.080292,6.37,0.00,0.00,0.004762
1/24/17,SMBK,6,1,57,0.051948,0,0,0,0,0.038694117,0.227496,-0.044665,1324.09,0.10,0.00,0.049351
1/25/17,ENTL,7,2,10,-0.022941,0,0,0,0,0.0690115,0.166377,-0.123259,104.57,0.33,0.00,0.004706
1/25/17,KINS,6,1,59,0,0,0,0,0,0.04071,0.282869,-0.02439,101.38,0.15,0.00,-0.004167
1/25/17,NEWT,6,2,39,-0.001311,0,0,0,0,0.039459375,0.133294,-0.061538,14.88,0.00,0.00,0.011147
1/25/17,KRNT,8,1,5,0.060606,0,0,0,0,0.1423125,0.226724,-0.048991,27.85,0.73,0.00,-0.033333
1/25/17,USFD,4,1,31,0.016538,0,0,0,0,1.0764,0.163034,-0.009901,44.05,1.00,0.00,0.005385
1/26/17,KTWO,7,3,56,-0.007353,0,0,0,0,0.0816,0.094792,-0.041353,14.75,1.00,0.00,0.012745
1/26/17,VRTS,6,1,5,-0.001818,0,0,0,0,0.115115,0.133843,-0.010346,21.07,0.00,0.00,0.000454
1/26/17,HZN,3,1,74,0.040541,0,0,0,0,0.0851,0.160643,-0.013859,30.47,0.00,0.00,0.01027
1/26/17,MRCY,8,1,17,0.02,0,0,0,0,0.2277,0.12748,-0.013453,21.72,0.00,0.00,0.016667
1/27/17,APO,6,4,48,0,0,0,0.38833,0,0.10625,0.012458,-0.019834,4.77,1.00,0.00,-0.003294
1/27/17,ATHX,7,2,75,0.039604,0,0,0.38833,0,0.023000023,0.187518,-0.335526,51.16,0.00,1.00,0.069307
1/27/17,KEYW,10,2,58,-0.02381,0,0,0.38833,0,0.08925,0.171718,-0.131514,41.34,0.00,0.00,-0.015238
1/27/17,WKHS,3,2,53,0.01,0,0,0.38833,0,0.022425,0.189809,-0.135447,46.13,0.00,0.00,0.02
1/27/17,HBMD,6,1,57,0.13,0,0,0.38833,0,0.0414,0.255562,-0.025974,959.79,0.00,0.00,-0.02
1/30/17,NRZ,9,1,17,0.004,0.210541,0,0.594899,0,0.848186805,0.140837,-0.042146,29.19,0.00,0.00,0.006
1/30/17,RIGL,7,2,37,0.02,0.210541,0,0.594899,0,0.046,0.168198,-0.038462,33.96,0.00,1.00,0.02
1/30/17,SMLP,5,2,5,0.008328,0.210541,0,0.594899,0,0.096,0.05547,-0.082218,31.90,1.00,0.00,-0.010416
1/31/17,SGYP,7,3,14,0.019512,0.226125,0,0.382617,0,0.125000005,0.101773,-0.130127,2.87,0.00,0.00,-0.037398
1/31/17,SN,5,2,35,0.052,0.226125,0,0.382617,0,0.14375,0.129643,-0.057315,2.03,0.00,0.00,-0.0416
1/31/17,UNVR,1,3,31,0.001724,0.226125,0,0.382617,0,0.435,0.10725,-0.027498,19.59,1.00,0.00,0.002414
1/31/17,TMHC,3,1,35,0.000526,0.226125,0,0.382617,0,0.2185,0.083733,-0.020619,26.84,0.00,0.00,-0.016842
1/31/17,FHB,6,1,31,0.00625,0.226125,0,0.382617,0,0.92,0.179152,-0.030009,110.29,1.00,0.00,-0.017188
1/31/17,MCRN,8,1,10,-0.003077,0.226125,0,0.382617,0,0.22425,0.1763,-0.017533,49.71,1.00,0.00,0.013539
2/1/17,CORI,7,2,14,0.15,-0.006842,0,0.325847,0,0.020000001,0.229424,-0.186992,162.05,0.00,0.00,-0.18
2/1/17,FBP,6,3,17,-0.009331,-0.006842,0,0.325847,0,0.14789,0.091967,-0.062682,19.93,1.00,0.00,0.010886
2/1/17,NTB,6,4,48,0.014962,-0.006842,0,0.325847,0,0.01228125,0.007038,-0.012066,3.10,1.00,0.00,-0.003054
2/1/17,SND,5,1,23,0.04,-0.006842,0,0.325847,0,0.11974375,0.146589,-0.008499,11.41,0.75,0.00,-0.036571
2/2/17,CBAY,7,2,38,0,-0.199319,0,0.221233,0,0.010000002,0.180987,-0.072115,6.59,0.00,1.00,0.041451
2/2/17,CVEO,8,2,58,0.020004,-0.199319,0,0.221233,0,0.069,0.156141,-0.166667,16.65,0.00,0.00,0.063334
2/3/17,NEOS,7,2,21,0.03,-0.13467,0,0.139453,0,0.02875,0.237296,-0.137931,55.10,0.00,0.00,-0.02
2/6/17,AM (old),5,2,5,0.045455,-0.205445,0,0.101541,0,0.2277,0.05507,-0.026261,14.48,0.00,0.00,0.019393
2/7/17,AMC,2,1,17,-0.014286,-0.201636,0,0.186529,0,0.640422531,0.147007,-0.029874,53.67,0.00,0.00,0
2/7/17,CHRS,7,2,35,0.006186,-0.201636,0,0.186529,0,0.128401374,0.105668,-0.090056,17.30,0.00,1.00,-0.03299
2/7/17,GMLP,5,3,48,0.006957,-0.201636,0,0.186529,0,0.119025,0.065623,-0.062755,15.27,0.00,0.00,0.002173
2/7/17,PE,5,2,23,-0.014516,-0.201636,0,0.186529,0,1.2834,0.149445,-0.06851,9.13,0.00,0.00,0.015806
2/8/17,INFO,8,4,23,-0.001261,-0.119572,0,0.168967,0,0.109991439,0.006817,-0.001511,1.23,1.00,0.00,0.003531
2/8/17,SLS,7,2,13,-0.130091,-0.119572,0,0.168967,0,0.017,0.528107,-0.285714,7.53,0.00,1.00,-0.036301
2/8/17,HLI,6,1,10,0.014017,-0.119572,0,0.168967,0,0.2691,0.1199,-0.015152,85.05,0.25,0.00,0.001368
2/9/17,CLF,1,3,31,0.015814,0.057765,0,-0.104559,0,0.6799375,0.190923,-0.054529,4.13,0.00,0.00,0.021395
2/9/17,SRRA,7,2,37,0.007407,0.057765,0,-0.104559,0,0.029494309,0.391169,-0.049296,71.12,0.00,1.00,-0.007407
2/9/17,MBRX,7,1,59,-0.044446,0.057765,0,-0.104559,0,0.005383935,0.233703,-0.1,76.24,0.00,1.00,-0.088889
2/10/17,LCTX,7,2,57,0.018518,-0.121921,0,-0.210685,0,0.020125001,0.059325,-0.10299,27.25,0.00,0.00,0.048148
2/13/17,ALDX,7,2,64,0.033333,-0.053773,0,-0.208867,0,0.011499998,0.150244,-0.052632,85.50,0.00,1.00,-0.033333
2/14/17,AA,1,4,48,0,-0.106499,0,-0.178197,0,0.89325225,0.126915,-0.008039,4.73,1.00,0.00,-0.009935
2/14/17,CYTO,7,2,59,-0.05,-0.106499,0,-0.178197,0,0.01135,0.225582,-0.130435,114.55,0.00,1.00,-0.016
2/14/17,ESNT,6,4,5,0.005227,-0.106499,0,-0.178197,0,0.03635,0.010741,-0.005744,1.56,1.00,0.00,-0.004127
2/14/17,KSU,8,4,48,0,-0.106499,0,-0.178197,0,0.129075,0.014066,-0.004281,0.81,1.00,0.00,0.008135
2/14/17,SBCF,6,2,33,0.043596,-0.106499,0,-0.178197,0,0.198303125,0.191974,-0.071756,31.49,0.70,0.00,0.044044
2/14/17,GEVO,1,2,53,-0.1,-0.106499,0,-0.178197,0,0.011875,0.419172,-0.184549,5.81,0.00,0.00,-0.063158
2/14/17,PFLT,6,2,48,-0.012482,-0.106499,0,-0.178197,0,0.078315,0.157579,-0.027837,49.30,0.00,0.00,0.012482
2/14/17,NBEV,4,1,2,0.525714,-0.106499,0,-0.178197,0,0.017249999,0.158536,-0.344569,43.49,0.00,0.00,0
2/15/17,CIT,6,4,17,0.009176,-0.120047,0,0.354036,0,0.20485,0.023854,-0.017795,2.87,1.00,0.00,-0.005411
2/15/17,EVOK,7,2,44,0.12069,-0.120047,0,0.354036,0,0.008049997,0.16349,-0.147059,7.05,0.00,0.00,-0.089656
2/15/17,MMLP,5,2,58,0.061111,-0.120047,0,0.354036,0,0.05382,0.06833,-0.045093,13.82,0.00,0.00,-0.025
2/15/17,NGL,5,3,23,0.03118,-0.120047,0,0.354036,0,0.227194,0.074037,-0.070393,13.96,0.00,0.00,0.004455
2/15/17,TRU,8,3,25,-0.006233,-0.120047,0,0.354036,0,0.8057115,0.109385,-0.012048,26.71,1.00,0.00,0.009485
2/16/17,WMS,8,4,4,0.017857,-0.194772,0,0.559959,0,0.084,0.068042,-0.046809,15.25,1.00,0.00,-0.011161
2/16/17,ATKR,8,1,23,0.024,-0.194772,0,0.559959,0,0.25875,0.142606,-0.019992,22.11,1.00,0.00,0
2/21/17,ANDX,5,3,17,-0.010211,-0.131032,0,0.523989,0,0.284,0.046298,-0.041997,12.05,0.00,0.00,-0.001585
2/21/17,CUZ,9,3,48,-0.002336,-0.131032,0,0.523989,0,0.544170636,0.151952,-0.011547,20.08,0.61,0.00,0.004672
2/21/17,GBT,7,2,14,0.044898,-0.131032,0,0.523989,0,0.143750002,0.122592,-0.140351,6.48,0.00,1.00,-0.04898
2/21/17,YUM,3,4,48,-0.009767,-0.131032,0,0.523989,0,0.7986,0.032697,-0.016551,5.17,1.00,0.00,0.003005
